timestamp,start_date,initial_cash,commission,leverage,sharpe_ratio,max_drawdown_pct,max_drawdown_money,total_return_log_pct,arithmetic_return_pct,total_profit,total_trades,total_commission_tradeanalyzer,total_slippage_tradeanalyzer,total_fees_tradeanalyzer,total_commission_commissionanalyzer,total_fees_commissionanalyzer,avg_commission_per_trade,commission_ratio_profit_pct,avg_var_dollar,last_var_dollar,avg_var_percent,rf_threshold,margin_called,consecutive_losses,total_profit_loss,liquidation_price,current_drop_percentage,actual_leverage_at_margin_call
20250820_191611,2022-09-01,1000,0.0005,8,1.4717852087862802,69.52753956238996,7776.557433401952,0.0,2433.5154203549923,24335.154203549922,789,0.0,0.0,0.0,4262.099099848141,4262.099099848141,5.40875520285297,17.514165162867148,1420.3218174703172,873.0236774145021,-0.0007428187013486,0.0,False,0,0.0,0.0,0.0,0.0
 params = dict(
        inputTrade=10,
        profit=1.011 , 
        profit_small=1.008,
        profit_partial=1.004,  # 0.4%에서 1.5%로 상향 조정
        leverage=0,  # 포지션 크기 계산용 10배
        dividedLongCount=20,
        additionalEntryPrice=1500,
        atr_multiplier=2.5,
        max_var=0.05,  # 12% (균형잡힌 설정)
        rf_threshold=0.9, # RandomForest 확률 임계값
        rf_threshold_partial=0.7, # RandomForest 확률 임계값
        rf_threshold_down=0.95, # 하락 예측 임계값 (70% 이상이면 거래 회피)
        rf_threshold_down_martingale=0.95, # 물타기 시 하락 예측 임계값 (80% 이상이면 물타기 회피)
        mean_var=None,     # 전체 백테스팅 구간 평균 VaR
        max_var_dollar=1000,  # VaR 달러 기준 예시
        
        save_trade_log=True,  # 거래 로그 CSV 저장 여부
        trade_log_dir='trade_logs'  # 거래 로그 저장 디렉토리
    )
